abonere (abonnere)
absorbtion (absorption)
accelleration (acceleration)
accellerere (accelerere)
accellererede (accelererede)
addresse (adresse)
adlen (adelen)
adminstration (administration)
Afganistan (Afghanistan)
agressiv (aggressiv)
akkomodation (akkommodation)
akkomodere (akkommodere)
albums (albummer)
anderkendt (anerkendt)
anerledes (anderledes)
anmasende (anmassende)
antageligvis (antagelig)
antecipere (anticipere)
appelere (appellere)
Appeninerne (Appenninerne)
apperat (apparat)
apperater (apparater)
apperatet (apparatet)
applomb (aplomb)
artikelen (artiklen)
artikeler (artikler)
autencitet (autenticitet)
babyloner (babylonier)
barrak (barak)
bekræftige (bekræfte)
betegning (betegnelse)
beuf (boeuf eller bøf)
biblotek (bibliotek)
blæreudslet (blæreudslæt)
bogtriologi (bogtrilogi)
bolche (bolsje)
bolcher (bolsjer)
bolcherne (bolsjerne)
bolchernes (bolsjernes)
bolchers (bolsjers)
bolches (bolsjes)
bolchet (bolsjet)
bolchets (bolsjets)
bolsche (bolsje)
bolscher (bolsjer)
bolscherne (bolsjerne)
bolschernes (bolsjernes)
bolschers (bolsjers)
bolsches (bolsjes)
bolschet (bolsjet)
bolschets (bolsjets)
bonusen (bonussen)
bonusens (bonussens)
bonuser (bonusser)
bonuserne (bonusserne)
bonusernes (bonussernes)
bonusers (bonussers)
borgerdydsskole (borgerdydskole)
Bourgoisi (Bourgeoisi)
Bourgoisie (Bourgeoisi)
Bourgoisiet (Bourgeoisiet)
box (boks)
bronce (bronze)
budet (buddet)
budets (buddets)
bærene (bærrene)
bødel (bøddel)
canser (cancer, kræft)
Cannada (Canada)
Caraibien (Caribien)
catamaran (katamaran)
Celcius (Celsius)
cencur (censur)
centaur (kentaur)
check (check (betalingsmiddel), tjek (kontrol))
checke (tjekke)
chlorofyl (klorofyl)
cosmodrom (kosmodrom)
cosmodromen (kosmodromen)
Danebrog (Dannebrog)
danere (daner)
delegat (delegeret)
diamentral (diametral)
diamentrale (diametrale)
diamentralt (diametralt)
diciplin (disciplin)
dicipliner (discipliner)
dilerium (delirium)
dilletant (dilettant)
dimision (dimission, dimension)
dimisioner (dimissioner, dimensioner)
diskution (diskussion)
ederfugl (edderfugl)
efterkommerer (efterkommere)
ekvivalent (ækvivalent)
elektricere (elektrisere, elektrificere)
elekttronisk (elektronisk)
embalage (emballage)
embalere (emballere)
erhvers (erhvervs)
erimitage (eremitage)
erimitagen (eremitagen)
Ethiopien (Etiopien)
ethiopier (etiopier)
ethiopiere (etiopiere)
ethiopieren (etiopieren)
ethiopisk (etiopisk)
experiment (eksperiment)
experimentere (eksperimentere)
experimenterede (eksperimenterede)
experimenterer (eksperimenterer)
export (eksport)
extrem (ekstrem)
extreme (ekstreme)
extremt (ekstremt)
fagterm (fagudtryk)
faldgruppe (faldgrube)
faldgrubbe (faldgrube)
faldbyde (falbyde)
fibere (fibre)
filipinsk (filippinsk)
filosofen (filosoffen)
filosofer (filosoffer)
financiere (finansiere)
financierede (finansierede)
financierer (finansierer)
financieret (finansieret)
flamengo (flamenco (sang, dans), flamingo (fugl, isolering))
Florens (Firenze, Florens)
Florentz (Firenze, Florens)
folketinget (Folketinget)
forbudet (forbuddet)
fordi at (fordi) [1]
foregrener (forgrener)
foreksempel (for eksempel)
forgodtbefindene (forgodtbefindende)
forlængst (for længst)
fornæmme (fornemme)
fornæmmer (fornemmer)
forpubbe (forpuppe)
Frederikstaden (Frederiksstaden)
fredslutning (fredsslutning)
fredslutningen (fredsslutningen)
fredsløs (fredløs)
fredsløse (fredløse)
fremfor (frem for)
friluftsmuseer (frilandsmuseer)
friluftsmuseet (frilandsmuseet)
friluftsmuseum (frilandsmuseum)
frådse (fråse)
fugleredder (fuglereder)
förmyndarregering (formynderregering)
garnision (garnison)
Garone (Garonne)
generalogi (genealogi)
genoptryk (optryk (hvis ikke andet menes) - ny udgave af en tidligere publikation, men med uforandret indhold, se Den Danske Ordbog http://ordnet.dk/ddo/ordbog?query=genoptryk)
genoptrykke (optrykke (hvis ikke andet menes))
genoptrykt (optrykt (hvis ikke andet menes))
genoptrykte (optrykte (hvis ikke andet menes))
geschæft (gesjæft)
gletcher (gletsjer)
gletscher (gletsjer)
Glücksburgske (Glücksborgske (i forbindelse med kongehuset))
gjordt (gjort)
gramatik (grammatik)
Greenwitch (Greenwich)
grønsværet (grønsværen)
Guiness (Guinness)
Guiseppe (Giuseppe)
gulsmed (guldsmed)
gulsmede (guldsmede)
gulsmeden (guldsmeden)
gurilla (gorilla, guerilla)
gurillaen (gorillaen, guerillaen)
harcellere (harcelere)
hensynløs (hensynsløs)
henved (hen ved)
herotisk (heroisk, erotisk)
hertig (hertug)
hieraki (hierarki)
histografi (historiografi)
hjortvildt (hjortevildt)
holdte (holdt)
hovede (hoved)
hovedsaglig (hovedsagelig)
hududslet (hududslæt, udslæt)
